ProductID,ProductName,Category,Price,Stock,Rating,Supplier,AddedDate
P00001,Campaign Individual,Books,283.8,65,1.3,"Berger, Munoz and Mitchell",2022-10-18
P00002,Recently True,Electronics,1832.83,475,4.9,"Oliver, Aguilar and Wilson",2023-01-26
P00003,Officer Collection,Toys,1099.03,470,1.0,"Todd, Medina and Vega",2021-03-15
P00004,Better Yes,Home,942.62,473,3.2,Zuniga Inc,2024-03-26
P00005,Play Practice,Sports,1846.95,354,3.1,Cameron-Pierce,2021-12-16
P00006,Only Full,Electronics,684.45,248,1.5,Barrett Inc,2021-07-11
P00007,Happy Democrat,Clothing,792.57,284,1.2,"Thomas, Mcbride and Dorsey",2023-12-21
P00008,Item Vote,Beauty,1535.17,447,1.0,Moreno-Christian,2024-09-15
P00009,Maybe Population,Electronics,289.18,84,1.3,"Evans, Chambers and Smith",2023-08-04
P00010,Performance Tv,Electronics,1860.23,251,1.4,Vaughn Group,2022-02-18
P00011,Grow Organization,Electronics,1090.33,268,3.6,Jones and Sons,2021-08-04
P00012,Season Stand,Electronics,891.09,217,3.8,Brewer-Lambert,2022-12-04
P00013,Interesting This,Home,976.21,9,4.4,Jones and Sons,2024-09-21
P00014,Authority Reduce,Electronics,593.74,467,1.7,Blair PLC,2020-12-23
P00015,Perform Must,Toys,1686.82,45,4.3,"Harrison, Harris and Perkins",2021-06-27
P00016,Take Mention,Toys,1265.88,367,4.5,"Park, Johnson and Hester",2023-05-29
P00017,Financial Real,Toys,1227.7,498,3.1,Armstrong-Graham,2022-06-03
P00018,Deal Break,Toys,1826.31,382,4.3,Harper Group,2025-01-07
P00019,Lot Once,Home,1645.49,7,3.6,Lang-Harper,2021-11-10
P00020,Thus Girl,Electronics,1078.93,483,4.1,"Holmes, Lewis and Green",2020-03-30
P00021,Floor As,Clothing,562.55,352,4.9,"Bell, Hamilton and Carr",2020-11-01
P00022,Sure Really,Clothing,725.91,337,4.1,"Scott, Anderson and Bailey",2020-10-04
P00023,Two Determine,Beauty,1451.36,7,3.1,"Rowe, Edwards and Smith",2022-07-25
P00024,Key Government,Home,1576.59,152,1.8,Hall-Brooks,2023-04-09
P00025,Whom Everything,Toys,179.92,244,2.3,"Hall, Richardson and Houston",2023-05-15
P00026,Series Class,Beauty,317.49,402,3.5,"Curry, Hernandez and Peterson",2024-05-15
P00027,Imagine Station,Toys,475.48,125,4.7,Davis LLC,2023-09-14
P00028,Serious Open,Sports,546.8,66,1.9,"Aguilar, Martin and Jacobson",2020-01-17
P00029,Probably Night,Electronics,1474.09,42,1.1,Lopez-Atkinson,2024-11-27
P00030,Rate Must,Beauty,166.75,306,1.1,Anderson-Jordan,2020-01-23
P00031,Financial Yes,Home,1705.23,191,3.9,Booker Ltd,2022-08-20
P00032,Far Seem,Sports,1494.02,267,1.6,Sutton-Ward,2022-09-18
P00033,Provide Left,Beauty,1316.82,100,1.7,Santiago Group,2022-07-07
P00034,Feel Structure,Books,1831.97,138,4.3,Summers-Stewart,2025-08-02
P00035,Wife Live,Sports,1186.07,387,3.4,"Ramirez, Giles and Johnson",2020-07-11
P00036,Most Range,Electronics,727.19,136,2.5,"Ball, Bowen and Hester",2023-06-12
P00037,Car Shoulder,Books,511.72,92,2.2,Le-Clay,2023-05-09
P00038,Only Push,Books,1028.9,498,3.9,Flores-Torres,2022-09-11
P00039,Debate Worker,Electronics,67.61,294,3.7,Payne-Boyd,2024-08-04
P00040,Heart Single,Home,1686.43,114,4.2,Johnson-Walls,2023-02-03
P00041,Own Data,Sports,807.0,241,4.0,Lee-Allen,2024-01-24
P00042,Team Turn,Electronics,822.85,478,3.9,Harris-Pope,2020-06-23
P00043,None Eye,Toys,573.4,366,2.5,"Navarro, Gonzalez and Murphy",2024-03-11
P00044,Type Per,Home,954.29,208,2.7,Hill Inc,2022-12-07
P00045,Start Car,Books,1047.34,316,4.2,Chambers-Baxter,2022-10-18
P00046,Century Condition,Home,1671.28,133,2.7,Kemp Ltd,2022-04-29
P00047,Foreign Game,Clothing,465.04,152,2.4,Morris Inc,2021-08-02
P00048,Less Because,Books,119.25,393,5.0,Wright and Sons,2025-06-13
P00049,Hope State,Books,744.27,477,4.6,"Bullock, Martinez and Carrillo",2025-06-15
P00050,Out Sound,Clothing,1159.15,89,4.9,"Williamson, Jones and Mitchell",2020-07-30
P00051,Candidate Effect,Toys,1861.05,32,1.4,Jones-Romero,2024-03-27
P00052,Son Wrong,Beauty,1303.91,486,4.5,"Moody, Hogan and Dawson",2023-06-06
P00053,Capital Strong,Books,1166.49,116,4.2,Watkins Inc,2024-11-13
P00054,Company Station,Toys,1343.37,2,1.9,Long-Johnson,2022-03-09
P00055,Start Bed,Books,1505.34,209,4.0,"Lawrence, Davis and Powers",2021-03-22
P00056,Huge He,Clothing,449.06,425,3.6,Fuller LLC,2021-12-14
P00057,Notice Author,Beauty,98.87,54,1.7,Pacheco Inc,2022-11-19
P00058,Improve Up,Clothing,348.66,102,4.5,Hayes and Sons,2023-02-23
P00059,Which History,Sports,921.78,265,3.0,"Ramirez, Powell and Cowan",2024-01-29
P00060,Good Six,Beauty,698.09,437,3.1,Williams-Garner,2021-05-23
P00061,Law Yard,Toys,1012.77,168,3.8,"Bradley, Martinez and Powell",2022-01-02
P00062,Car Century,Home,1345.37,285,4.2,Black LLC,2020-05-06
P00063,Various Man,Clothing,319.46,390,1.9,"Williams, Ramos and Butler",2023-06-01
P00064,They Economic,Electronics,995.44,429,4.1,West Inc,2025-04-05
P00065,Cell Tonight,Toys,1939.31,30,3.1,Green Ltd,2022-06-02
P00066,Control Front,Toys,158.02,16,2.6,"Wright, Brennan and Franklin",2020-12-21
P00067,Law Bill,Sports,1159.94,399,1.8,"Stewart, Maynard and Parker",2025-07-30
P00068,Data Recent,Sports,1581.18,343,4.8,"Sharp, Cowan and Huff",2021-02-27
P00069,Whatever Different,Home,527.18,39,1.6,Hodge-Harris,2020-03-28
P00070,Leave Base,Toys,166.46,165,3.0,"Hill, Roberts and Medina",2020-09-07
P00071,Write Option,Toys,188.99,95,4.8,"Fisher, Taylor and Giles",2024-04-14
P00072,List Measure,Books,1537.78,464,3.3,Bryant-Jones,2023-02-21
P00073,Building Course,Books,1934.04,454,3.8,Baker and Sons,2024-07-21
P00074,Player Feeling,Toys,211.28,111,1.5,Wagner-Garcia,2022-07-14
P00075,After Family,Books,592.19,61,2.2,Smith Inc,2021-02-03
P00076,Prepare Expert,Books,1633.78,58,1.5,Sanchez-Palmer,2025-07-20
P00077,Certainly Rule,Clothing,1410.46,203,1.1,Klein-Dickerson,2020-05-18
P00078,Great Large,Toys,1151.76,499,4.5,Young and Sons,2024-03-10
P00079,Happen Be,Books,20.84,198,2.3,Mcdaniel-Shepard,2021-09-28
P00080,Spring First,Sports,481.39,244,1.4,Guzman-Hunt,2020-07-07
P00081,Sort Lawyer,Clothing,290.74,24,4.3,"Kent, Rivas and Beck",2021-06-01
P00082,Civil House,Home,810.07,22,1.4,Malone-Wright,2024-12-29
P00083,Third Through,Books,1949.07,115,4.0,Wells-Bentley,2023-04-05
P00084,Almost Carry,Toys,717.74,74,4.5,Butler-Nelson,2022-01-05
P00085,High Hot,Clothing,777.49,425,2.0,Cameron Ltd,2021-08-22
P00086,Dinner Meeting,Beauty,24.06,23,4.2,"Martin, Rowe and Little",2023-10-21
P00087,Imagine Water,Books,1763.94,40,3.0,Barker PLC,2021-03-25
P00088,Federal Remember,Clothing,1500.23,399,2.1,Smith-Schmidt,2022-01-25
P00089,Involve And,Toys,1056.64,386,3.2,Gay-Brown,2024-06-10
P00090,Nor For,Clothing,1017.88,219,3.6,"Sparks, Cross and Roberts",2024-06-06
P00091,However Ever,Toys,45.47,274,2.3,Lewis-Cain,2024-03-16
P00092,Congress Color,Beauty,305.19,96,3.8,Ford PLC,2022-05-17
P00093,Husband Party,Electronics,1787.42,252,2.8,Garcia-White,2022-02-07
P00094,Left Ball,Clothing,609.7,420,1.2,Brown Ltd,2022-10-19
P00095,Tv Bed,Books,230.88,500,1.7,"Wyatt, Ross and Guerrero",2023-05-06
P00096,Child Responsibility,Toys,1097.76,421,4.2,"Cline, Wright and Mclean",2023-01-08
P00097,Black We,Sports,1185.36,454,4.0,"Adams, Ellis and Beltran",2024-11-23
P00098,Factor Quite,Home,626.15,381,2.9,"Martinez, Gomez and Andrews",2023-12-21
P00099,Assume Prove,Sports,583.02,225,3.6,Harris-Ramirez,2023-08-27
P00100,Fact Painting,Clothing,864.02,364,3.6,Martinez Ltd,2022-08-16
P00101,Concern Walk,Books,1162.23,351,3.3,Fletcher LLC,2022-09-27
P00102,Style Opportunity,Home,1276.99,476,4.0,"Johnston, Bates and Mclean",2024-05-21
P00103,Team Money,Books,889.82,33,1.8,"Barnes, Lewis and Murphy",2020-12-25
P00104,Serve As,Beauty,421.19,226,3.8,"Williams, Middleton and Martinez",2021-10-07
P00105,Congress Smile,Beauty,1648.79,469,3.1,Moore-Steele,2024-04-20
P00106,Behavior Enough,Electronics,74.47,193,4.9,Potter-Campbell,2021-09-04
